2:43:34 91% (16m left); send: 14596774 1.49 Kp/s (1.49 Kp/s avg); recv: 10453 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:35 91% (16m left); send: 14598259 1.48 Kp/s (1.49 Kp/s avg); recv: 10453 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:36 91% (16m left); send: 14599752 1.49 Kp/s (1.49 Kp/s avg); recv: 10455 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:37 91% (16m left); send: 14601238 1.49 Kp/s (1.49 Kp/s avg); recv: 10455 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:38 91% (16m left); send: 14602726 1.49 Kp/s (1.49 Kp/s avg); recv: 10455 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:39 91% (16m left); send: 14604215 1.49 Kp/s (1.49 Kp/s avg); recv: 10456 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:40 91% (16m left); send: 14605702 1.49 Kp/s (1.49 Kp/s avg); recv: 10456 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:41 91% (16m left); send: 14607189 1.49 Kp/s (1.49 Kp/s avg); recv: 10456 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:42 91% (16m left); send: 14608679 1.49 Kp/s (1.49 Kp/s avg); recv: 10457 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:43 91% (16m left); send: 14610167 1.49 Kp/s (1.49 Kp/s avg); recv: 10457 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:44 91% (16m left); send: 14611655 1.49 Kp/s (1.49 Kp/s avg); recv: 10458 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:45 91% (16m left); send: 14613143 1.49 Kp/s (1.49 Kp/s avg); recv: 10458 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:46 91% (16m left); send: 14614627 1.48 Kp/s (1.49 Kp/s avg); recv: 10459 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:47 91% (16m left); send: 14616116 1.49 Kp/s (1.49 Kp/s avg); recv: 10460 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:48 91% (16m left); send: 14617606 1.49 Kp/s (1.49 Kp/s avg); recv: 10460 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:49 91% (16m left); send: 14619094 1.49 Kp/s (1.49 Kp/s avg); recv: 10460 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:50 91% (16m left); send: 14620582 1.49 Kp/s (1.49 Kp/s avg); recv: 10460 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:51 91% (16m left); send: 14622069 1.49 Kp/s (1.49 Kp/s avg); recv: 10461 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:52 91% (16m left); send: 14623557 1.49 Kp/s (1.49 Kp/s avg); recv: 10461 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:53 91% (16m left); send: 14625046 1.49 Kp/s (1.49 Kp/s avg); recv: 10461 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:54 91% (16m left); send: 14626534 1.49 Kp/s (1.49 Kp/s avg); recv: 10461 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:55 91% (16m left); send: 14628021 1.49 Kp/s (1.49 Kp/s avg); recv: 10462 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
